Date,Close
01/02/2015,46.76
01/05/2015,46.33
01/06/2015,45.65
01/07/2015,46.23
01/08/2015,47.59
01/09/2015,47.19
01/12/2015,46.6
01/13/2015,46.36
01/14/2015,45.96
01/15/2015,45.48
01/16/2015,46.24
01/20/2015,46.39
01/21/2015,45.92
01/22/2015,47.13
01/23/2015,47.18
01/26/2015,47.01
01/27/2015,42.66
01/28/2015,41.19
01/29/2015,42.01
01/30/2015,40.4
02/02/2015,41.28
02/03/2015,41.6
02/04/2015,41.84
02/05/2015,42.45
02/06/2015,42.41
02/09/2015,42.36
02/10/2015,42.6
02/11/2015,42.38
02/12/2015,43.09
02/13/2015,43.87
02/17/2015,43.58
02/18/2015,43.53
02/19/2015,43.5
02/20/2015,43.86
02/23/2015,44.15
02/24/2015,44.09
02/25/2015,43.99
02/26/2015,44.06
02/27/2015,43.85
03/02/2015,43.88
03/03/2015,43.28
03/04/2015,43.06
03/05/2015,43.11
03/06/2015,42.36
03/09/2015,42.85
03/10/2015,42.03
03/11/2015,41.98
03/12/2015,41.02
03/13/2015,41.38
03/16/2015,41.56
03/17/2015,41.7
03/18/2015,42.5
03/19/2015,42.29
03/20/2015,42.88
03/23/2015,42.86
03/24/2015,42.9
03/25/2015,41.46
03/26/2015,41.21
03/27/2015,40.97
03/30/2015,40.96
03/31/2015,40.66
04/01/2015,40.72
04/02/2015,40.29
04/06/2015,41.55
04/07/2015,41.53
04/08/2015,41.42
04/09/2015,41.48
04/10/2015,41.72
04/13/2015,41.76
04/14/2015,41.65
04/15/2015,42.26
04/16/2015,42.16
04/17/2015,41.62
04/20/2015,42.91
04/21/2015,42.64
04/22/2015,42.99
04/23/2015,43.34
04/24/2015,47.87
04/27/2015,48.03
04/28/2015,49.16
04/29/2015,49.06
04/30/2015,48.64
05/01/2015,48.66
05/04/2015,48.24
05/05/2015,47.6
05/06/2015,46.28
05/07/2015,46.7
05/08/2015,47.75
05/11/2015,47.37
05/12/2015,47.35
05/13/2015,47.63
05/14/2015,48.72
05/15/2015,48.3
05/18/2015,48.01
05/19/2015,47.58
05/20/2015,47.58
05/21/2015,47.42
05/22/2015,46.9
05/26/2015,46.59
05/27/2015,47.61
05/28/2015,47.45
05/29/2015,46.86
06/01/2015,47.23
06/02/2015,46.92
06/03/2015,46.85
06/04/2015,46.36
06/05/2015,46.14
06/08/2015,45.73
06/09/2015,45.65
06/10/2015,46.61
06/11/2015,46.44
06/12/2015,45.97
06/15/2015,45.48
06/16/2015,45.83
06/17/2015,45.97
06/18/2015,46.72
06/19/2015,46.1
06/22/2015,46.23
06/23/2015,45.91
06/24/2015,45.64
06/25/2015,45.65
06/26/2015,45.26
